DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2024-04-16,2024-04-16 18:00,32.4,90.4,Sunny,48,15.6,1007.0
2024-04-16,2024-04-16 19:00,30.7,87.3,Clear,55,15.0,1008.0
2024-04-16,2024-04-16 20:00,29.7,85.4,Clear,62,17.6,1009.0
2024-04-16,2024-04-16 21:00,28.9,84.1,Clear,70,16.6,1010.0
2024-04-16,2024-04-16 22:00,28.6,83.4,Clear,72,14.4,1010.0
2024-04-16,2024-04-16 23:00,28.3,83.0,Clear,71,11.2,1010.0
2024-04-17,2024-04-17 00:00,27.5,81.5,Clear,74,6.5,1010.0
2024-04-17,2024-04-17 01:00,27.2,81.0,Partly cloudy,76,4.7,1009.0
2024-04-17,2024-04-17 02:00,27.1,80.8,Partly cloudy,78,2.9,1009.0
2024-04-17,2024-04-17 03:00,27.1,80.8,Cloudy,79,3.2,1009.0
2024-04-17,2024-04-17 04:00,26.2,79.2,Partly cloudy,79,3.2,1009.0
2024-04-17,2024-04-17 05:00,26.1,79.0,Partly cloudy,78,2.5,1010.0
2024-04-17,2024-04-17 06:00,27.7,81.9,Clear,78,0.7,1010.0
2024-04-17,2024-04-17 07:00,29.5,85.2,Sunny,70,4.0,1010.0
2024-04-17,2024-04-17 08:00,31.5,88.7,Sunny,60,7.6,1011.0
2024-04-17,2024-04-17 09:00,33.5,92.2,Sunny,50,9.7,1011.0
2024-04-17,2024-04-17 10:00,35.3,95.5,Sunny,41,10.4,1010.0
2024-04-17,2024-04-17 11:00,37.0,98.5,Sunny,34,10.1,1009.0
2024-04-17,2024-04-17 12:00,38.5,101.2,Sunny,29,9.7,1008.0
2024-04-17,2024-04-17 13:00,39.6,103.3,Sunny,26,10.1,1006.0
2024-04-17,2024-04-17 14:00,40.4,104.8,Sunny,24,9.7,1005.0
2024-04-17,2024-04-17 15:00,40.4,104.6,Sunny,25,12.6,1004.0
